Weather Type,Game Title,Tags,Steam Rating,Weather Reasoning,Description,Playtime,Price Range
Sunny,Splatoon 3,"🎨 Colorful, 🦑 Action, 💥 Competitive",90%,Vibrant color-splashing action for bright energetic moods,Splash bright colors everywhere in this energetic team shooter. The explosive colors and upbeat action perfectly capture sunny day exuberance.,20+ hours,$59.99
Sunny,Tony Hawk's Pro Skater 1+2,"🛹 Skating, 🎵 Music, ☀️ Summer",88%,High-energy skating for active sunny day vibes,Shred through sunny skate parks with an incredible soundtrack. The summer skating aesthetic and energetic gameplay scream perfect sunny day activity.,15-25 hours,$39.99
Sunny,Outer Wilds,"🌌 Space, 🔍 Mystery, 🌞 Exploration",93%,Cosmic exploration under infinite sunny skies,Explore a solar system caught in a time loop. The sense of cosmic wonder and discovery matches the expansive feeling of looking up at clear sunny skies.,15-25 hours,$24.99
Cloudy,What Remains of Edith Finch,"📚 Narrative, 🎭 Atmospheric, 🏠 Mystery",92%,Mysterious atmospheric games for contemplative cloudy moods,Overcast skies create the perfect backdrop for mysterious stories. This hauntingly beautiful narrative adventure thrives in the contemplative mood that cloudy weather brings.,2-3 hours,$19.99
Cloudy,Gris,"🎨 Art, 😢 Emotional, 🎵 Musical",91%,Emotional artistic experiences for reflective weather,The muted tones of cloudy weather perfectly complement this watercolor masterpiece. Gris's emotional journey resonates with the introspective mood overcast skies inspire.,3-5 hours,$16.99
Cloudy,Control,"🏢 Supernatural, 🌫️ Mysterious, 💫 Paranormal",83%,Supernatural mysteries matching cloudy uncertainty,Navigate a brutalist government building filled with supernatural phenomena. The mysterious uncertain atmosphere matches perfectly with cloudy uncertain weather.,15-20 hours,$29.99
Cloudy,Kentucky Route Zero,"🛣️ Surreal, 📖 Literary, 🎭 Atmospheric",84%,Surreal storytelling for contemplative cloudy moods,A magical realist adventure through rural Kentucky. The dreamlike uncertain narrative perfectly matches the contemplative uncertainty of cloudy skies.,8-12 hours,$24.99
Cloudy,Disco Elysium,"🕵️ Detective, 📚 Literary, 🧠 Deep",91%,Deep detective work for thoughtful overcast days,Solve crimes while battling your own demons in this incredible RPG. The complex layered storytelling matches the contemplative mood cloudy weather brings.,60+ hours,$39.99
Cloudy,Life is Strange,"📸 Photography, 🌪️ Supernatural, 😢 Emotional",79%,Emotional time-travel drama for reflective cloudy weather,Navigate teenage drama with time-travel powers. The moody Pacific Northwest setting and emotional depth perfectly match overcast contemplation.,12-16 hours,$19.99
Cloudy,The Vanishing of Ethan Carter,"🔍 Mystery, 🌲 Atmospheric, 👻 Supernatural",81%,Atmospheric detective work for mysterious cloudy days,Investigate supernatural disappearances in a beautiful eerie landscape. The mysterious atmosphere perfectly complements uncertain cloudy weather.,4-6 hours,$19.99
Cloudy,Soma,"🤖 Sci-fi, 😰 Horror, 🤔 Philosophical",85%,Deep philosophical horror for contemplative gray days,Explore an underwater research facility while questioning consciousness itself. The deep unsettling themes match the introspective mood of gray skies.,8-12 hours,$29.99
Cloudy,The Return of the Obra Dinn,"⚓ Mystery, 🎨 Monochrome, 🕵️ Detective",89%,Monochrome mystery-solving for atmospheric cloudy weather,Investigate the fate of a ship's crew using supernatural detective work. The stark black-and-white art style perfectly matches overcast atmospheric weather.,8-12 hours,$19.99
Cloudy,Virginia,"🕵️ Mystery, 🎵 Musical, 🌲 Atmospheric",72%,Silent narrative mystery for contemplative moods,A wordless first-person thriller with incredible atmosphere. The mysterious contemplative pacing matches perfectly with thoughtful cloudy weather.,2-3 hours,$9.99
Cloudy,Limbo,"🌑 Dark, 🧩 Puzzle, 😰 Atmospheric",88%,Dark atmospheric puzzles for moody overcast days,Navigate a haunting black-and-white world filled with deadly puzzles. The stark moody atmosphere perfectly captures the feeling of overcast skies.,3-4 hours,$9.99
Cloudy,The Long Dark,"❄️ Survival, 🌨️ Atmospheric, 🔥 Contemplative",85%,Contemplative survival for overcast weather reflection,Survive in the Canadian wilderness after a geomagnetic disaster. The quiet contemplative survival matches the reflective mood of cloudy weather.,20+ hours,$34.99
Cloudy,Papers Please,"📋 Bureaucracy, 😰 Dystopian, 🤔 Moral",96%,Moral complexity for thoughtful uncertain weather,Check immigration papers in a dystopian border checkpoint. The moral complexity and gray themes match the uncertainty of cloudy skies.,5-8 hours,$9.99
Cloudy,This War of Mine,"💣 War, 😢 Emotional, 🤔 Moral",84%,Heavy emotional experiences for contemplative overcast moods,Survive as civilians during wartime. The heavy contemplative themes and moral dilemmas perfectly match the serious mood of overcast weather.,10-20 hours,$19.99
Cloudy,Her Story,"💻 Detective, 📺 FMV, 🕵️ Mystery",85%,Video-based detective work for atmospheric investigation,Piece together a mystery through police interview footage. The atmospheric investigation perfectly matches the contemplative detective mood of cloudy weather.,2-4 hours,$5.99
Snowy,The Long Dark,"❄️ Survival, 🌨️ Winter, 🔥 Atmospheric",85%,Immersive winter experiences that complement snowy conditions,Snowy weather calls for the ultimate winter survival experience! Feel the chill alongside your character as you navigate the beautiful but unforgiving Canadian wilderness.,20+ hours,$34.99
Snowy,Alto's Odyssey,"🏂 Zen, 🏔️ Beautiful, 🎿 Relaxing",89%,Peaceful winter sports for snowy day tranquility,Let the falling snow outside inspire graceful virtual snowboarding! This meditative endless runner captures the peaceful beauty of winter landscapes.,Infinite,$4.99
Snowy,Steep,"🎿 Winter Sports, 🏔️ Extreme, ❄️ Snow",74%,Extreme winter sports matching snowy adrenaline,Carve through fresh powder on skis snowboard wingsuit or paraglider. When it's snowing outside embrace the winter sports spirit inside!,15+ hours,$29.99
Snowy,SnowRunner,"🚚 Trucks, 🌨️ Snow, 🛣️ Simulation",88%,Heavy machinery battling snow just like real winter,Navigate treacherous snowy terrain with powerful trucks. The challenging snow physics perfectly match the struggle of dealing with real winter weather.,40+ hours,$29.99
Snowy,Frostpunk,"🏭 City Builder, 🥶 Survival, ❄️ Apocalyptic",88%,Civilization survival in endless winter,Build and manage a city in a frozen post-apocalyptic world. The constant battle against cold perfectly captures the challenge of snowy weather.,20-30 hours,$29.99
Snowy,Never Alone,"🐺 Adventure, ❄️ Arctic, 📚 Cultural",81%,Arctic adventure celebrating winter culture,Experience Inuit folklore while navigating beautiful arctic landscapes. The cultural celebration of winter perfectly matches snowy weather appreciation.,3-5 hours,$14.99
Snowy,A Short Hike,"🏔️ Exploration, 🧘 Meditative, 🌿 Nature",98%,Peaceful mountain hiking in snowy landscapes,Take a meditative hike through snowy mountain trails. The peaceful winter exploration perfectly matches the contemplative mood of falling snow.,1-2 hours,$7.99
Snowy,Ski Region Simulator,"⛷️ Simulation, 🏔️ Management, ❄️ Winter",71%,Ski resort management for winter weather enthusiasts,Manage a ski resort and create perfect winter experiences. When you can't hit the slopes at least you can run them!,20+ hours,$19.99
Snowy,Winter Resort Simulator,"🎿 Resort, 🏂 Winter, 🏔️ Management",68%,Winter resort simulation for snowy day planning,Design and operate winter resorts in beautiful snowy locations. Perfect for dreaming about winter vacations during actual snow days.,15+ hours,$24.99
Snowy,The Forest,"🌲 Survival, 🏕️ Crafting, 😰 Horror",83%,Wilderness survival enhanced by winter atmosphere,Survive in a mysterious forest while building shelter. The survival aspects feel more urgent and cozy when there's real snow outside.,15-30 hours,$19.99
Snowy,Firewatch,"🌲 Atmospheric, 👤 Single-player, 📖 Story-Rich",92%,Contemplative forest adventure perfect for snowy isolation,Walk through the Wyoming wilderness while uncovering mysteries. The isolated contemplative atmosphere perfectly matches being snowed in.,4-6 hours,$19.99
Snowy,My Time at Portia,"🔨 Crafting, 🌱 Life Sim, 😊 Cozy",84%,Cozy crafting simulation for winter indoor time,Build and craft in a charming post-apocalyptic town. The cozy workshop atmosphere provides perfect indoor warmth during snowy weather.,60+ hours,$29.99
Snowy,Spiritfarer,"🚢 Emotional, 🎨 Beautiful, 😢 Heartfelt",92%,Cozy boat management during winter contemplation,Care for spirits on a cozy boat while exploring beautiful worlds. The warm caring atmosphere provides emotional comfort during cold snowy days.,20-30 hours,$29.99
Snowy,Coffee Talk,"☕ Narrative, 🌙 Chill, 🎵 Music",94%,Warm café conversations perfect for snowy evenings,Serve coffee and listen to customers' stories in a cozy café. The warm intimate atmosphere is the perfect antidote to cold snowy weather outside.,4-6 hours,$12.99
Snowy,Slime Rancher,"🐥 Cute, 🌱 Farming, 🌈 Cheerful",95%,Bright cheerful farming to contrast snowy gloom,Raise adorable slimes on a colorful ranch. The bright warm colors and cheerful gameplay provide perfect contrast to cold gray snowy weather.,20-40 hours,$19.99
Clear,Journey,"✨ Transcendent, 🌅 Beautiful, 🧘 Meditative",95%,Transcendent experiences for perfect weather days,Clear skies inspire clear journeys of the soul. This wordless adventure through mystical landscapes captures the sense of possibility and wonder that comes with perfect weather.,2-3 hours,$14.99
Clear,Breath of the Wild,"🌬️ Open World, 🏔️ Adventure, 🌅 Beautiful",97%,Ultimate open-world exploration for perfect outdoor weather,When the weather is absolutely perfect you need the perfect adventure. Explore Hyrule's vast landscapes under beautiful clear skies that mirror your own.,60+ hours,$59.99
Clear,Outer Wilds,"🌌 Space, 🔍 Mystery, 🌞 Exploration",93%,Cosmic exploration under infinite clear skies,Explore a miniature solar system caught in a time loop. The sense of cosmic wonder and discovery perfectly matches the expansive feeling of perfect clear weather.,15-25 hours,$24.99
Clear,Abzu,"🌊 Underwater, 🐠 Meditative, 🎨 Beautiful",88%,Serene underwater meditation for crystal clear conditions,Dive into beautiful underwater worlds with stunning sea life. The crystal clear waters match the perfect clarity of your weather outside.,2-4 hours,$19.99
Clear,The Witness,"🧩 Puzzle, 🏝️ Beautiful, 🌅 Zen",85%,Mental clarity puzzles for perfectly clear thinking,Clear skies clear mind! This gorgeous puzzle island is perfect when clear weather has you feeling mentally sharp and ready for intellectual challenges.,25-40 hours,$39.99
Clear,Astroneer,"🚀 Space, 🌍 Exploration, 🔨 Crafting",90%,Planetary exploration under endless clear skies,Explore and reshape distant worlds under alien skies. The sense of infinite possibility matches the boundless feeling of perfect clear weather.,20+ hours,$29.99
Clear,Subnautica,"🌊 Underwater, 🐠 Exploration, 🌈 Colorful",87%,Crystal clear underwater exploration,Crystal clear skies make us dream of crystal clear waters! Dive into an alien ocean world where perfect visibility reveals incredible underwater landscapes.,30-50 hours,$29.99
Clear,No Man's Sky,"🚀 Space, 🌍 Exploration, 🌈 Colorful",87%,Infinite exploration under perfect alien skies,Perfect weather deserves perfect alien worlds! Explore infinite planets under clear alien skies each more beautiful than the last.,50+ hours,$59.99
Clear,Ori and the Will of the Wisps,"🌲 Platformer, 🎵 Musical, 🌅 Beautiful",90%,Beautiful forest platforming for perfect nature days,Navigate stunning forest environments filled with life and beauty. The gorgeous natural settings perfectly complement perfect outdoor weather.,8-15 hours,$29.99
Clear,Firewatch,"🌲 Atmospheric, 👤 Single-player, 📖 Story-Rich",92%,Perfect hiking weather calls for virtual hiking,When the weather is perfect for hiking take a virtual hike through the gorgeous Wyoming wilderness. The beautiful outdoor environments match your perfect weather.,4-6 hours,$19.99
Clear,A Short Hike,"🏔️ Exploration, 🧘 Meditative, 🌿 Nature",98%,Perfect hiking simulation for perfect hiking weather,Take a peaceful hike to the summit of a beautiful mountain. When conditions are perfect outside celebrate with perfect virtual hiking.,1-2 hours,$7.99
Clear,Alto's Adventure,"🏂 Snowboarding, 🏔️ Beautiful, 🧘 Zen",94%,Serene mountain adventure for perfect outdoor conditions,Snowboard through beautiful mountain landscapes with perfect weather conditions. The serene outdoor adventure matches your perfect real-world conditions.,Infinite,$4.99
Clear,Gris,"🎨 Art, 😢 Emotional, 🎵 Musical",91%,Artistic beauty matching perfect weather beauty,Experience a beautiful watercolor world that's as stunning as your perfect weather outside. The artistic beauty celebrates the beauty of clear conditions.,3-5 hours,$16.99
Clear,The Pathless,"🏹 Adventure, 🦅 Mystical, 🌲 Nature",84%,Mystical nature adventure for perfect outdoor weather,Explore a mystical island with your eagle companion. The beautiful natural environments and perfect outdoor adventure match your ideal weather conditions.,8-12 hours,$39.99
Clear,Spiritfarer,"🚢 Emotional, 🎨 Beautiful, 😢 Heartfelt",92%,Beautiful boat journey under perfect skies,Sail through beautiful worlds under perfect skies while caring for spirits. The gorgeous environments and perfect sailing weather match your ideal conditions.,20-30 hours,$29.99
